# Assembly name:  GRCh38.p14
# Description:    Genome Reference Consortium Human Build 38 patch release 14 (GRCh38.p14)
# Organism name:  Homo sapiens (human)
# Taxid:          9606
# BioProject:     PRJNA31257
# Submitter:      Genome Reference Consortium
# Date:           2022-02-03
# Synonyms:       hg38	
# Assembly type:  haploid-with-alt-loci
# Release type:   patch
# Assembly level: Chromosome
# Genome representation: full
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_000001405.29
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000001305.2		Primary Assembly
## GCA_000005045.27		PATCHES
## GCA_000001315.2		ALT_REF_LOCI_1
## GCA_000001325.2		ALT_REF_LOCI_2
## GCA_000001335.2		ALT_REF_LOCI_3
## GCA_000001345.2		ALT_REF_LOCI_4
## GCA_000001355.2		ALT_REF_LOCI_5
## GCA_000001365.2		ALT_REF_LOCI_6
## GCA_000001375.2		ALT_REF_LOCI_7
## GCA_000510225.1		ALT_REF_LOCI_8
## GCA_000510235.1		ALT_REF_LOCI_9
## GCA_000509915.1		ALT_REF_LOCI_10
## GCA_000509925.1		ALT_REF_LOCI_11
## GCA_000509935.1		ALT_REF_LOCI_12
## GCA_000509945.1		ALT_REF_LOCI_13
## GCA_000509955.1		ALT_REF_LOCI_14
## GCA_000509965.1		ALT_REF_LOCI_15
## GCA_000509975.1		ALT_REF_LOCI_16
## GCA_000509985.1		ALT_REF_LOCI_17
## GCA_000509995.1		ALT_REF_LOCI_18
## GCA_000510005.1		ALT_REF_LOCI_19
## GCA_000510015.1		ALT_REF_LOCI_20
## GCA_000510025.1		ALT_REF_LOCI_21
## GCA_000510035.1		ALT_REF_LOCI_22
## GCA_000510045.1		ALT_REF_LOCI_23
## GCA_000510055.1		ALT_REF_LOCI_24
## GCA_000510065.1		ALT_REF_LOCI_25
## GCA_000510075.1		ALT_REF_LOCI_26
## GCA_000510085.1		ALT_REF_LOCI_27
## GCA_000510095.1		ALT_REF_LOCI_28
## GCA_000510105.1		ALT_REF_LOCI_29
## GCA_000510125.1		ALT_REF_LOCI_30
## GCA_000510135.1		ALT_REF_LOCI_31
## GCA_000510145.1		ALT_REF_LOCI_32
## GCA_000510155.1		ALT_REF_LOCI_33
## GCA_000510165.1		ALT_REF_LOCI_34
## GCA_000510175.1		ALT_REF_LOCI_35
## GCA_000006015.1		non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
HSCHR18_1_CTG2	alt-scaffold	18	Chromosome	GL383568.1	<>	na	ALT_REF_LOCI_1	104552	chr18_GL383568v1_alt
HSCHR18_1_CTG2_1	alt-scaffold	18	Chromosome	GL383569.1	<>	na	ALT_REF_LOCI_1	167950	chr18_GL383569v1_alt
HSCHR18_2_CTG1_1	alt-scaffold	18	Chromosome	GL383570.1	<>	na	ALT_REF_LOCI_1	164789	chr18_GL383570v1_alt
HSCHR18_2_CTG2	alt-scaffold	18	Chromosome	GL383571.1	<>	na	ALT_REF_LOCI_1	198278	chr18_GL383571v1_alt
HSCHR18_2_CTG2_1	alt-scaffold	18	Chromosome	GL383572.1	<>	na	ALT_REF_LOCI_1	159547	chr18_GL383572v1_alt
HSCHR18_3_CTG2_1	alt-scaffold	18	Chromosome	KI270863.1	<>	na	ALT_REF_LOCI_1	167999	chr18_KI270863v1_alt
HSCHR18_4_CTG1_1	alt-scaffold	18	Chromosome	KI270864.1	<>	na	ALT_REF_LOCI_1	111737	chr18_KI270864v1_alt
HSCHR19_1_CTG2	alt-scaffold	19	Chromosome	GL383573.1	<>	na	ALT_REF_LOCI_1	385657	chr19_GL383573v1_alt
HSCHR19_1_CTG3_1	alt-scaffold	19	Chromosome	GL383574.1	<>	na	ALT_REF_LOCI_1	155864	chr19_GL383574v1_alt
HSCHR19_2_CTG2	alt-scaffold	19	Chromosome	GL383575.2	<>	na	ALT_REF_LOCI_1	170222	chr19_GL383575v2_alt
HSCHR19_3_CTG2	alt-scaffold	19	Chromosome	GL383576.1	<>	na	ALT_REF_LOCI_1	188024	chr19_GL383576v1_alt
HSCHR19LRC_COX1_CTG3_1	alt-scaffold	19	Chromosome	GL949746.1	<>	na	ALT_REF_LOCI_1	987716	chr19_GL949746v1_alt
HSCHR19_4_CTG2	alt-scaffold	19	Chromosome	KI270865.1	<>	na	ALT_REF_LOCI_1	52969	chr19_KI270865v1_alt
HSCHR19_2_CTG3_1	alt-scaffold	19	Chromosome	KI270866.1	<>	na	ALT_REF_LOCI_1	43156	chr19_KI270866v1_alt
HSCHR19_3_CTG3_1	alt-scaffold	19	Chromosome	KI270867.1	<>	na	ALT_REF_LOCI_1	233762	chr19_KI270867v1_alt
HSCHR19_5_CTG2	alt-scaffold	19	Chromosome	KI270868.1	<>	na	ALT_REF_LOCI_1	61734	chr19_KI270868v1_alt
HSCHR20_1_CTG1	alt-scaffold	20	Chromosome	GL383577.2	<>	na	ALT_REF_LOCI_1	128386	chr20_GL383577v2_alt
HSCHR20_1_CTG2	alt-scaffold	20	Chromosome	KI270869.1	<>	na	ALT_REF_LOCI_1	118774	chr20_KI270869v1_alt
HSCHR20_1_CTG3	alt-scaffold	20	Chromosome	KI270870.1	<>	na	ALT_REF_LOCI_1	183433	chr20_KI270870v1_alt
HSCHR20_1_CTG4	alt-scaffold	20	Chromosome	KI270871.1	<>	na	ALT_REF_LOCI_1	58661	chr20_KI270871v1_alt
HSCHR21_1_CTG1_1	alt-scaffold	21	Chromosome	GL383578.2	<>	na	ALT_REF_LOCI_1	63917	chr21_GL383578v2_alt
HSCHR21_2_CTG1_1	alt-scaffold	21	Chromosome	GL383579.2	<>	na	ALT_REF_LOCI_1	201197	chr21_GL383579v2_alt
HSCHR21_3_CTG1_1	alt-scaffold	21	Chromosome	GL383580.2	<>	na	ALT_REF_LOCI_1	74653	chr21_GL383580v2_alt
HSCHR21_4_CTG1_1	alt-scaffold	21	Chromosome	GL383581.2	<>	na	ALT_REF_LOCI_1	116689	chr21_GL383581v2_alt
HSCHR21_5_CTG2	alt-scaffold	21	Chromosome	KI270872.1	<>	na	ALT_REF_LOCI_1	82692	chr21_KI270872v1_alt
HSCHR21_6_CTG1_1	alt-scaffold	21	Chromosome	KI270873.1	<>	na	ALT_REF_LOCI_1	143900	chr21_KI270873v1_alt
HSCHR21_8_CTG1_1	alt-scaffold	21	Chromosome	KI270874.1	<>	na	ALT_REF_LOCI_1	166743	chr21_KI270874v1_alt
HSCHR22_1_CTG1	alt-scaffold	22	Chromosome	GL383582.2	<>	na	ALT_REF_LOCI_1	162811	chr22_GL383582v2_alt
HSCHR22_1_CTG2	alt-scaffold	22	Chromosome	GL383583.2	<>	na	ALT_REF_LOCI_1	96924	chr22_GL383583v2_alt
HSCHR22_1_CTG3	alt-scaffold	22	Chromosome	KI270875.1	<>	na	ALT_REF_LOCI_1	259914	chr22_KI270875v1_alt
HSCHR22_1_CTG4	alt-scaffold	22	Chromosome	KI270876.1	<>	na	ALT_REF_LOCI_1	263666	chr22_KI270876v1_alt
HSCHR22_1_CTG5	alt-scaffold	22	Chromosome	KI270877.1	<>	na	ALT_REF_LOCI_1	101331	chr22_KI270877v1_alt
HSCHR22_1_CTG6	alt-scaffold	22	Chromosome	KI270878.1	<>	na	ALT_REF_LOCI_1	186262	chr22_KI270878v1_alt
HSCHR22_1_CTG7	alt-scaffold	22	Chromosome	KI270879.1	<>	na	ALT_REF_LOCI_1	304135	chr22_KI270879v1_alt
HSCHRX_1_CTG3	alt-scaffold	X	Chromosome	KI270880.1	<>	na	ALT_REF_LOCI_1	284869	chrX_KI270880v1_alt
HSCHRX_2_CTG12	alt-scaffold	X	Chromosome	KI270881.1	<>	na	ALT_REF_LOCI_1	144206	chrX_KI270881v1_alt
HSCHR1_ALT2_1_CTG32_1	alt-scaffold	1	Chromosome	KI270892.1	<>	na	ALT_REF_LOCI_2	162212	chr1_KI270892v1_alt
HSCHR2_2_CTG15	alt-scaffold	2	Chromosome	KI270893.1	<>	na	ALT_REF_LOCI_2	161218	chr2_KI270893v1_alt
HSCHR2_2_CTG7	alt-scaffold	2	Chromosome	KI270894.1	<>	na	ALT_REF_LOCI_2	214158	chr2_KI270894v1_alt
HSCHR3_3_CTG3	alt-scaffold	3	Chromosome	KI270895.1	<>	na	ALT_REF_LOCI_2	162896	chr3_KI270895v1_alt
HSCHR4_6_CTG12	alt-scaffold	4	Chromosome	KI270896.1	<>	na	ALT_REF_LOCI_2	378547	chr4_KI270896v1_alt
HSCHR5_1_CTG1_1	alt-scaffold	5	Chromosome	KI270897.1	<>	na	ALT_REF_LOCI_2	1144418	chr5_KI270897v1_alt
HSCHR5_3_CTG5	alt-scaffold	5	Chromosome	KI270898.1	<>	na	ALT_REF_LOCI_2	130957	chr5_KI270898v1_alt
HSCHR6_MHC_COX_CTG1	alt-scaffold	6	Chromosome	GL000251.2	<>	na	ALT_REF_LOCI_2	4795265	chr6_GL000251v2_alt
HSCHR7_2_CTG1	alt-scaffold	7	Chromosome	KI270899.1	<>	na	ALT_REF_LOCI_2	190869	chr7_KI270899v1_alt
HSCHR8_5_CTG1	alt-scaffold	8	Chromosome	KI270900.1	<>	na	ALT_REF_LOCI_2	318687	chr8_KI270900v1_alt
HSCHR8_6_CTG1	alt-scaffold	8	Chromosome	KI270901.1	<>	na	ALT_REF_LOCI_2	136959	chr8_KI270901v1_alt
HSCHR11_2_CTG1	alt-scaffold	11	Chromosome	KI270902.1	<>	na	ALT_REF_LOCI_2	106711	chr11_KI270902v1_alt
HSCHR11_2_CTG1_1	alt-scaffold	11	Chromosome	KI270903.1	<>	na	ALT_REF_LOCI_2	214625	chr11_KI270903v1_alt
HSCHR12_3_CTG2	alt-scaffold	12	Chromosome	KI270904.1	<>	na	ALT_REF_LOCI_2	572349	chr12_KI270904v1_alt
HSCHR15_4_CTG8	alt-scaffold	15	Chromosome	KI270905.1	<>	na	ALT_REF_LOCI_2	5161414	chr15_KI270905v1_alt
HSCHR15_2_CTG3	alt-scaffold	15	Chromosome	KI270906.1	<>	na	ALT_REF_LOCI_2	196384	chr15_KI270906v1_alt
HSCHR17_6_CTG4	alt-scaffold	17	Chromosome	JH159148.1	<>	na	ALT_REF_LOCI_2	88070	chr17_JH159148v1_alt
HSCHR17_2_CTG1	alt-scaffold	17	Chromosome	KI270907.1	<>	na	ALT_REF_LOCI_2	137721	chr17_KI270907v1_alt
HSCHR17_2_CTG5	alt-scaffold	17	Chromosome	KI270908.1	<>	na	ALT_REF_LOCI_2	1423190	chr17_KI270908v1_alt
HSCHR17_10_CTG4	alt-scaffold	17	Chromosome	KI270909.1	<>	na	ALT_REF_LOCI_2	325800	chr17_KI270909v1_alt
HSCHR17_3_CTG2	alt-scaffold	17	Chromosome	KI270910.1	<>	na	ALT_REF_LOCI_2	157099	chr17_KI270910v1_alt
HSCHR18_ALT2_CTG2_1	alt-scaffold	18	Chromosome	KI270911.1	<>	na	ALT_REF_LOCI_2	157710	chr18_KI270911v1_alt
HSCHR18_ALT21_CTG2_1	alt-scaffold	18	Chromosome	KI270912.1	<>	na	ALT_REF_LOCI_2	174061	chr18_KI270912v1_alt
HSCHR19LRC_COX2_CTG3_1	alt-scaffold	19	Chromosome	GL949747.2	<>	na	ALT_REF_LOCI_2	729520	chr19_GL949747v2_alt
HSCHR22_2_CTG1	alt-scaffold	22	Chromosome	KB663609.1	<>	na	ALT_REF_LOCI_2	74013	chr22_KB663609v1_alt
HSCHRX_2_CTG3	alt-scaffold	X	Chromosome	KI270913.1	<>	na	ALT_REF_LOCI_2	274009	chrX_KI270913v1_alt
HSCHR3_4_CTG3	alt-scaffold	3	Chromosome	KI270924.1	<>	na	ALT_REF_LOCI_3	166540	chr3_KI270924v1_alt
HSCHR4_7_CTG12	alt-scaffold	4	Chromosome	KI270925.1	<>	na	ALT_REF_LOCI_3	555799	chr4_KI270925v1_alt
HSCHR6_MHC_DBB_CTG1	alt-scaffold	6	Chromosome	GL000252.2	<>	na	ALT_REF_LOCI_3	4604811	chr6_GL000252v2_alt
HSCHR8_7_CTG1	alt-scaffold	8	Chromosome	KI270926.1	<>	na	ALT_REF_LOCI_3	229282	chr8_KI270926v1_alt
HSCHR11_3_CTG1	alt-scaffold	11	Chromosome	KI270927.1	<>	na	ALT_REF_LOCI_3	218612	chr11_KI270927v1_alt
HSCHR19LRC_LRC_I_CTG3_1	alt-scaffold	19	Chromosome	GL949748.2	<>	na	ALT_REF_LOCI_3	1064304	chr19_GL949748v2_alt
HSCHR22_3_CTG1	alt-scaffold	22	Chromosome	KI270928.1	<>	na	ALT_REF_LOCI_3	176103	chr22_KI270928v1_alt
HSCHR3_5_CTG3	alt-scaffold	3	Chromosome	KI270934.1	<>	na	ALT_REF_LOCI_4	163458	chr3_KI270934v1_alt
HSCHR6_MHC_MANN_CTG1	alt-scaffold	6	Chromosome	GL000253.2	<>	na	ALT_REF_LOCI_4	4677643	chr6_GL000253v2_alt
HSCHR19LRC_LRC_J_CTG3_1	alt-scaffold	19	Chromosome	GL949749.2	<>	na	ALT_REF_LOCI_4	1091841	chr19_GL949749v2_alt
HSCHR3_6_CTG3	alt-scaffold	3	Chromosome	KI270935.1	<>	na	ALT_REF_LOCI_5	197351	chr3_KI270935v1_alt
HSCHR6_MHC_MCF_CTG1	alt-scaffold	6	Chromosome	GL000254.2	<>	na	ALT_REF_LOCI_5	4827813	chr6_GL000254v2_alt
HSCHR19LRC_LRC_S_CTG3_1	alt-scaffold	19	Chromosome	GL949750.2	<>	na	ALT_REF_LOCI_5	1066390	chr19_GL949750v2_alt
HSCHR3_7_CTG3	alt-scaffold	3	Chromosome	KI270936.1	<>	na	ALT_REF_LOCI_6	164170	chr3_KI270936v1_alt
HSCHR6_MHC_QBL_CTG1	alt-scaffold	6	Chromosome	GL000255.2	<>	na	ALT_REF_LOCI_6	4606388	chr6_GL000255v2_alt
HSCHR19LRC_LRC_T_CTG3_1	alt-scaffold	19	Chromosome	GL949751.2	<>	na	ALT_REF_LOCI_6	1002683	chr19_GL949751v2_alt
HSCHR3_8_CTG3	alt-scaffold	3	Chromosome	KI270937.1	<>	na	ALT_REF_LOCI_7	165607	chr3_KI270937v1_alt
HSCHR6_MHC_SSTO_CTG1	alt-scaffold	6	Chromosome	GL000256.2	<>	na	ALT_REF_LOCI_7	4929269	chr6_GL000256v2_alt
HSCHR19LRC_PGF1_CTG3_1	alt-scaffold	19	Chromosome	GL949752.1	<>	na	ALT_REF_LOCI_7	987100	chr19_GL949752v1_alt
HSCHR6_8_CTG1	alt-scaffold	6	Chromosome	KI270758.1	<>	na	ALT_REF_LOCI_8	76752	chr6_KI270758v1_alt
HSCHR19LRC_PGF2_CTG3_1	alt-scaffold	19	Chromosome	GL949753.2	<>	na	ALT_REF_LOCI_8	796479	chr19_GL949753v2_alt
HSCHR19_4_CTG3_1	alt-scaffold	19	Chromosome	KI270938.1	<>	na	ALT_REF_LOCI_9	1066800	chr19_KI270938v1_alt
HSCHR19KIR_FH15_B_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270882.1	<>	na	ALT_REF_LOCI_10	248807	chr19_KI270882v1_alt
HSCHR19KIR_G085_A_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270883.1	<>	na	ALT_REF_LOCI_11	170399	chr19_KI270883v1_alt
HSCHR19KIR_G085_BA1_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270884.1	<>	na	ALT_REF_LOCI_12	157053	chr19_KI270884v1_alt
HSCHR19KIR_G248_A_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270885.1	<>	na	ALT_REF_LOCI_13	171027	chr19_KI270885v1_alt
HSCHR19KIR_G248_BA2_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270886.1	<>	na	ALT_REF_LOCI_14	204239	chr19_KI270886v1_alt
HSCHR19KIR_GRC212_AB_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270887.1	<>	na	ALT_REF_LOCI_15	209512	chr19_KI270887v1_alt
HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270888.1	<>	na	ALT_REF_LOCI_16	155532	chr19_KI270888v1_alt
HSCHR19KIR_LUCE_A_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270889.1	<>	na	ALT_REF_LOCI_17	170698	chr19_KI270889v1_alt
HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270890.1	<>	na	ALT_REF_LOCI_18	184499	chr19_KI270890v1_alt
HSCHR19KIR_RSH_A_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270891.1	<>	na	ALT_REF_LOCI_19	170680	chr19_KI270891v1_alt
HSCHR19KIR_RSH_BA2_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270914.1	<>	na	ALT_REF_LOCI_20	205194	chr19_KI270914v1_alt
HSCHR19KIR_T7526_A_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270915.1	<>	na	ALT_REF_LOCI_21	170665	chr19_KI270915v1_alt
HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270916.1	<>	na	ALT_REF_LOCI_22	184516	chr19_KI270916v1_alt
HSCHR19KIR_ABC08_A1_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270917.1	<>	na	ALT_REF_LOCI_23	190932	chr19_KI270917v1_alt
HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	alt-scaffold	19	Chromosome	KI270918.1	<>	na	ALT_REF_LOCI_24	123111	chr19_KI270918v1_alt
HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	alt-scaffold	19	Chromosome	KI270919.1	<>	na	ALT_REF_LOCI_25	170701	chr19_KI270919v1_alt
HSCHR19KIR_FH05_A_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270920.1	<>	na	ALT_REF_LOCI_26	198005	chr19_KI270920v1_alt
HSCHR19KIR_FH05_B_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270921.1	<>	na	ALT_REF_LOCI_27	282224	chr19_KI270921v1_alt
HSCHR19KIR_FH06_A_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270922.1	<>	na	ALT_REF_LOCI_28	187935	chr19_KI270922v1_alt
HSCHR19KIR_FH06_BA1_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270923.1	<>	na	ALT_REF_LOCI_29	189352	chr19_KI270923v1_alt
HSCHR19KIR_FH08_A_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270929.1	<>	na	ALT_REF_LOCI_30	186203	chr19_KI270929v1_alt
HSCHR19KIR_FH08_BAX_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270930.1	<>	na	ALT_REF_LOCI_31	200773	chr19_KI270930v1_alt
HSCHR19KIR_FH13_A_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270931.1	<>	na	ALT_REF_LOCI_32	170148	chr19_KI270931v1_alt
HSCHR19KIR_FH13_BA2_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270932.1	<>	na	ALT_REF_LOCI_33	215732	chr19_KI270932v1_alt
HSCHR19KIR_FH15_A_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270933.1	<>	na	ALT_REF_LOCI_34	170537	chr19_KI270933v1_alt
HSCHR19KIR_RP5_B_HAP_CTG3_1	alt-scaffold	19	Chromosome	GL000209.2	<>	na	ALT_REF_LOCI_35	177381	chr19_GL000209v2_alt
MT	assembled-molecule	MT	Mitochondrion	J01415.2	<>	na	non-nuclear	16569	chrM
